input_size,class_size
1,1355
101,1455
201,1555
301,1655
401,1755
501,1855
601,1955
701,2055
801,2155
901,2255
1001,2355
1101,2455
1201,2555
1301,2655
1401,2755
1501,2855
1601,2955
1701,3055
1801,3155
1901,3255
2001,3355
2101,3455
2201,3555
2301,3655
2401,3755
2501,3855
2601,3955
2701,4055
2801,4155
2901,4255
3001,4355
3101,4455
3201,4555
3301,4655
3401,4755
3501,4855
3601,4955
3701,5055
3801,5155
3901,5255
4001,5355
4101,5455
4201,5555
4301,5655
4401,5755
4501,5855
4601,5955
4701,6055
4801,6155
4901,6255
5001,6355
5101,6455
5201,6555
5301,6655
5401,6755
5501,6855
5601,6955
5701,7055
5801,7155
5901,7255
6001,7355
6101,7455
6201,7555
6301,7655
6401,7755
6501,7855
6601,7955
6701,8055
6801,8155
6901,8255
7001,8355
7101,8455
7201,8555
7301,8655
7401,8755
7501,8855
7601,8955
7701,9055
7801,9155
7901,9255
8001,9355
8101,9455
8201,9555
8301,9655
8401,9755
8501,9855
8601,9955
8701,10055
8801,10155
8901,10255
9001,10355
9101,10455
9201,10555
9301,10655
9401,10755
9501,10855
9601,10955
9701,11055
9801,11155
9901,11255
